"ReviewID,Rating,Comments,ListingID,UserID"
"1,4,Had a great stay, loved the location!,1,10"
"2,5,Absolutely fantastic place, will come back again.,2,11"
"3,3,Decent stay, but could be improved.,3,12"
"4,5,Amazing host and property, highly recommended!,4,13"
"5,4,Enjoyed the cozy atmosphere and amenities.,5,14"
"6,5,Exceptional experience, will definitely return.,6,15"
"7,4,Nice cabin, perfect for a relaxing getaway.,7,10"
"8,4,Good value for the price, clean and comfortable.,1,11"
"9,3,Average stay, nothing too special.,2,12"
"10,5,Absolutely loved the pool and the villa.,3,13"
